index,bin start,count
0,28399.000,1
1,28419.996,0
2,28440.992,0
3,28461.988,0
4,28482.984,0
5,28503.980,0
6,28524.977,0
7,28545.973,0
8,28566.969,0
9,28587.965,0
10,28608.961,0
11,28629.957,0
12,28650.953,0
13,28671.949,1
14,28692.945,0
15,28713.941,0
16,28734.938,0
17,28755.934,1
18,28776.930,2
19,28797.926,1
20,28818.922,2
21,28839.918,1
22,28860.914,1
23,28881.910,3
24,28902.906,0
25,28923.902,2
26,28944.898,2
27,28965.895,2
28,28986.891,1
29,29007.887,0
30,29028.883,2
31,29049.879,1
32,29070.875,4
33,29091.871,1
34,29112.867,2
35,29133.863,3
36,29154.859,2
37,29175.855,6
38,29196.852,2
39,29217.848,4
40,29238.844,2
41,29259.840,4
42,29280.836,1
43,29301.832,4
44,29322.828,4
45,29343.824,1
46,29364.820,1
47,29385.816,1
48,29406.812,4
49,29427.809,2
50,29448.805,4
51,29469.801,8
52,29490.797,4
53,29511.793,1
54,29532.789,6
55,29553.785,6
56,29574.781,3
57,29595.777,4
58,29616.773,4
59,29637.770,5
60,29658.766,5
61,29679.762,5
62,29700.758,5
63,29721.754,5
64,29742.750,3
65,29763.746,5
66,29784.742,2
67,29805.738,5
68,29826.734,5
69,29847.730,6
70,29868.727,1
71,29889.723,3
72,29910.719,7
73,29931.715,1
74,29952.711,16
75,29973.707,8
76,29994.703,5
77,30015.699,2
78,30036.695,7
79,30057.691,6
80,30078.688,6
81,30099.684,2
82,30120.680,5
83,30141.676,8
84,30162.672,10
85,30183.668,5
86,30204.664,3
87,30225.660,9
88,30246.656,3
89,30267.652,4
90,30288.648,5
91,30309.645,2
92,30330.641,4
93,30351.637,4
94,30372.633,4
95,30393.629,5
96,30414.625,9
97,30435.621,1
98,30456.617,3
99,30477.613,8
100,30498.609,3
101,30519.605,6
102,30540.602,5
103,30561.598,2
104,30582.594,4
105,30603.590,4
106,30624.586,2
107,30645.582,4
108,30666.578,3
109,30687.574,4
110,30708.570,2
111,30729.566,3
112,30750.562,1
113,30771.559,8
114,30792.555,8
115,30813.551,2
116,30834.547,2
117,30855.543,8
118,30876.539,3
119,30897.535,3
120,30918.531,3
121,30939.527,4
122,30960.523,1
123,30981.520,2
124,31002.516,4
125,31023.512,1
126,31044.508,3
127,31065.504,3
128,31086.500,4
129,31107.496,0
130,31128.492,3
131,31149.488,4
132,31170.484,4
133,31191.480,3
134,31212.477,2
135,31233.473,1
136,31254.469,0
137,31275.465,2
138,31296.461,1
139,31317.457,5
140,31338.453,1
141,31359.449,2
142,31380.445,3
143,31401.441,1
144,31422.438,4
145,31443.434,1
146,31464.430,1
147,31485.426,2
148,31506.422,0
149,31527.418,3
150,31548.414,1
151,31569.410,2
152,31590.406,1
153,31611.402,0
154,31632.398,2
155,31653.395,3
156,31674.391,1
157,31695.387,4
158,31716.383,5
159,31737.379,1
160,31758.375,3
161,31779.371,2
162,31800.367,1
163,31821.363,1
164,31842.359,1
165,31863.355,1
166,31884.352,0
167,31905.348,6
168,31926.344,3
169,31947.340,2
170,31968.336,0
171,31989.332,1
172,32010.328,2
173,32031.324,2
174,32052.320,0
175,32073.316,2
176,32094.312,3
177,32115.309,1
178,32136.305,2
179,32157.301,3
180,32178.297,0
181,32199.293,0
182,32220.289,2
183,32241.285,1
184,32262.281,1
185,32283.277,0
186,32304.273,0
187,32325.270,0
188,32346.266,1
189,32367.262,0
190,32388.258,1
191,32409.254,0
192,32430.250,1
193,32451.246,1
194,32472.242,1
195,32493.238,1
196,32514.234,0
197,32535.230,0
198,32556.227,1
199,32577.223,2
200,32598.219,0
201,32619.215,0
202,32640.211,0
203,32661.207,1
204,32682.203,1
205,32703.199,2
206,32724.195,1
207,32745.191,2
208,32766.188,1
209,32787.184,1
210,32808.180,1
211,32829.176,1
212,32850.172,0
213,32871.168,0
214,32892.164,0
215,32913.160,0
216,32934.156,1
217,32955.152,0
218,32976.148,0
219,32997.145,0
220,33018.141,0
221,33039.137,0
222,33060.133,1
223,33081.129,0
224,33102.125,0
225,33123.121,0
226,33144.117,0
227,33165.113,0
228,33186.109,0
229,33207.105,0
230,33228.102,0
231,33249.098,0
232,33270.094,0
233,33291.090,0
234,33312.086,0
235,33333.082,0
236,33354.078,0
237,33375.074,0
238,33396.070,0
239,33417.066,0
240,33438.062,0
241,33459.059,0
242,33480.055,0
243,33501.051,0
244,33522.047,0
245,33543.043,0
246,33564.039,0
247,33585.035,0
248,33606.031,0
249,33627.027,0
250,33648.023,0
251,33669.020,0
252,33690.016,0
253,33711.012,0
254,33732.008,0
255,33753.004,1
